num,year,id,team,RPI,SOS,PE
0,2015,1246,Kentucky,0.6811,0.5717,
1,2015,1438,Virginia,0.6669,0.5761,
2,2015,1458,Wisconsin,0.6639,0.583,
3,2015,1112,Arizona,0.6583,0.5674,
4,2015,1268,Maryland,0.6333,0.5629,
5,2015,1428,Utah,0.6265,0.5646,
6,2015,1314,North Carolina,0.6245,0.6078,
7,2015,1116,Arkansas,0.6184,0.5524,
8,2015,1433,VCU,0.6165,0.5853,
9,2015,1374,SMU,0.6156,0.5563,
10,2015,1207,Georgetown,0.6128,0.5966,
11,2015,1452,West Virginia,0.6107,0.57,
12,2015,1323,Notre Dame,0.6007,0.5306,
13,2015,1161,Colorado State,0.596,0.5142,
14,2015,1277,Michigan State,0.5934,0.5787,
15,2015,1138,Buffalo,0.5904,0.5379,
16,2015,1326,Ohio State,0.5891,0.5409,
17,2015,1208,Georgia,0.5868,0.5645,
18,2015,1396,Temple,0.5866,0.5489,
19,2015,1153,Cincinnati,0.5858,0.5526,
20,2015,1462,Xavier,0.5842,0.5803,
21,2015,1400,Texas,0.5837,0.5836,
22,2015,1401,Texas A&M;,0.5827,0.5432,
23,2015,1409,Tulsa,0.5816,0.5279,
24,2015,1459,Wofford,0.5773,0.4866,
25,2015,1417,UCLA,0.575,0.5663,
26,2015,1231,Indiana,0.5735,0.5699,
27,2015,1261,LSU,0.5719,0.5419,
28,2015,1463,Yale,0.5698,0.5076,
29,2015,1228,Illinois,0.5686,0.5552,
30,2015,1338,Pittsburgh,0.5675,0.5638,
31,2015,1393,Syracuse,0.5652,0.5682,
32,2015,1390,Stanford,0.5651,0.5592,
33,2015,1434,Valparaiso,0.5641,0.47,
34,2015,1348,Rhode Island,0.5626,0.5096,
35,2015,1229,Illinois State,0.557,0.5396,
36,2015,1431,Texas-El Paso,0.5562,0.5081,
37,2015,1141,Central Michigan,0.5548,0.4851,
38,2015,1405,Toledo,0.5511,0.5268,
39,2015,1371,Seton Hall,0.5507,0.5594,
40,2015,1272,Memphis,0.5498,0.5509,
41,2015,1203,George Washington,0.5479999999999999,0.508,
42,2015,1276,Michigan,0.5463,0.5856,
43,2015,1355,South Dakota State,0.544,0.4698,
44,2015,1113,Arizona State,0.5434,0.5599,
45,2015,1104,Alabama,0.5418,0.5581,
46,2015,1186,Eastern Washington,0.5399,0.4716,
47,2015,1155,Clemson,0.5389,0.5578,
48,2015,1143,California,0.5381,0.5444,
49,2015,1456,William &amp; Mary,0.5362,0.4997,
50,2015,1151,Chattanooga,0.5358,0.4723,
51,2015,1376,South Carolina,0.5332,0.5697,
52,2015,1444,Western Michigan,0.531,0.5012,
53,2015,1300,North Carolina Central,0.5306,0.4221,
54,2015,1253,Long Beach State,0.53,0.5418,
55,2015,1448,Wake Forest,0.5291,0.5775,
56,2015,1382,St. Bonaventure,0.5285,0.5085,
57,2015,1392,Stony Brook,0.5284,0.4662,
58,2015,1191,Evansville,0.5279,0.5102,
59,2015,1260,Loyola-Chicago,0.5237,0.511,
60,2015,1199,Florida State,0.5231,0.5473,
61,2015,1204,Georgia Southern,0.5226,0.4556,
62,2015,1449,Washington,0.5214,0.5377,
63,2015,1137,Bucknell,0.521,0.4901,
64,2015,1351,Rider,0.5198,0.4637,
65,2015,1336,Penn State,0.5196,0.5402,
66,2015,1166,Creighton,0.519,0.5598,
67,2015,1195,Florida Gulf Coast,0.5168,0.4688,
68,2015,1419,Louisiana-Monroe,0.5166,0.4847,
69,2015,1205,Gardner-Webb,0.5155,0.4952,
70,2015,1248,Lafayette,0.5147,0.4872,
71,2015,1337,Pepperdine,0.5133,0.4952,
72,2015,1157,Coastal Carolina,0.5122,0.4459,
73,2015,1347,Radford,0.5118,0.4645,
74,2015,1185,Eastern Michigan,0.511,0.4942,
75,2015,1324,Oakland,0.51,0.5186,
76,2015,1184,Eastern Kentucky,0.5087,0.4656,
77,2015,1266,Marquette,0.5079,0.5651,
78,2015,1418,UL Lafayette,0.5075,0.4832,
79,2015,1383,St. Francis (N.Y.),0.5063,0.4454,
80,2015,1120,Auburn,0.5058,0.5637,
81,2015,1130,Boston College,0.5054,0.5623,
82,2015,1412,UAB,0.5031,0.511,
83,2015,1177,DePaul,0.5026,0.5468,
84,2015,1426,Texas-Arlington,0.5021,0.4839,
85,2015,1386,Saint Joseph's,0.5013,0.5269,
86,2015,1145,Canisius,0.4998,0.4837,
87,2015,1218,Hawaii,0.4993,0.4869,
88,2015,1404,UT Martin,0.4968,0.4527,
89,2015,1220,Hofstra,0.4966,0.4586,
90,2015,1384,St. Francis (Pa.),0.4962,0.4714,
91,2015,1190,E. Tennessee State,0.4954,0.4787,
92,2015,1201,Fresno State,0.494,0.5078,
93,2015,1136,Bryant University,0.4939,0.4749,
94,2015,1292,Middle Tennessee,0.4924,0.4941,
95,2015,1264,Manhattan,0.4921,0.4548,
96,2015,1284,Monmouth,0.4917,0.474,
97,2015,1362,San Francisco,0.4909,0.5287,
98,2015,1436,Vermont,0.4886,0.4471,
99,2015,1273,Mercer,0.4868,0.4679,
100,2015,1221,Holy Cross,0.4863,0.4956,
101,2015,1150,Charlotte,0.4857,0.4968,
102,2015,1287,Morehead State,0.4853,0.479,
103,2015,1343,Princeton,0.4846,0.4848,
104,2015,1408,Tulane,0.4838,0.5002,
105,2015,1457,Winthrop,0.4821,0.4391,
106,2015,1367,South Carolina Upstate,0.4814,0.4207,
107,2015,1317,North Texas,0.4812,0.5027,
108,2015,1206,George Mason,0.47700000000000004,0.559,
109,2015,1415,California Riverside,0.4766,0.4831,
110,2015,1175,Delaware State,0.4727,0.4554,
111,2015,1275,Miami (Ohio),0.4716,0.5071,
112,2015,1439,Virginia Tech,0.4689,0.5413,
113,2015,1249,Lamar,0.4682,0.4716,
114,2015,1325,Ohio,0.46799999999999997,0.5291,
115,2015,1176,Denver,0.4661,0.4977,
116,2015,1427,Texas-San Antonio,0.4645,0.4739,
117,2015,1416,UCF,0.4632,0.5068,
118,2015,1294,Northern Colorado,0.4624,0.4549,
119,2015,1283,Missouri State,0.4615,0.5209,
120,2015,1216,Hartford,0.4604,0.4595,
121,2015,1225,Idaho,0.4603,0.4703,
122,2015,1180,Drexel,0.4594,0.4892,
123,2015,1421,NC-Asheville,0.4583,0.4574,
124,2015,1254,LIU-Brooklyn,0.4573,0.4729,
125,2015,1174,Delaware,0.4568,0.4926,
126,2015,1189,Elon,0.4557,0.4606,
127,2015,1222,Houston,0.4557,0.4987,
128,2015,1451,Weber State,0.4539,0.4717,
129,2015,1297,Northern Kentucky,0.4534,0.4713,
130,2015,1335,Pennsylvania,0.45299999999999996,0.4967,
131,2015,1378,South Florida,0.452,0.5247,
132,2015,1341,Prairie View A&M;,0.4513,0.4311,
133,2015,1349,Rice,0.451,0.4962,
134,2015,1114,Arkansas-Little Rock,0.4499,0.473,
135,2015,1106,Alabama State,0.4491,0.3846,
136,2015,1252,Lipscomb,0.4451,0.4481,
137,2015,1117,Arkansas State,0.4435,0.4629,
138,2015,1375,South Alabama,0.4392,0.4816,
139,2015,1123,Ball State,0.4388,0.5248,
140,2015,1282,UMKC,0.4382,0.4401,
141,2015,1369,Southeast Missouri State,0.4371,0.4503,
142,2015,1310,Niagara,0.4363,0.4913,
143,2015,1267,Marshall,0.4343,0.49,
144,2015,1399,Tennessee Tech,0.4334,0.459,
145,2015,1188,SIU-Edwardsville,0.4323,0.4578,
146,2015,1447,Wagner,0.4303,0.4727,
147,2015,1227,Illinois-Chicago,0.4293,0.4957,
148,2015,1194,Florida Atlantic,0.4273,0.4815,
149,2015,1303,Nebraska Omaha,0.4268,0.4311,
150,2015,1193,Fairfield,0.4259,0.5002,
151,2015,1167,Cal State Bakersfield,0.4243,0.4426,
152,2015,1240,Jacksonville State,0.4237,0.4566,
153,2015,1115,Arkansas-Pine Bluff,0.4205,0.4214,
154,2015,1407,Troy,0.4173,0.4496,
155,2015,1192,Fairleigh Dickinson,0.4142,0.4606,
156,2015,1255,Longwood,0.4124,0.4515,
157,2015,1122,Austin Peay,0.4109,0.4783,
158,2015,1238,Jackson State,0.41,0.4166,
159,2015,1244,Kennesaw State,0.4095,0.452,
160,2015,1164,Coppin State,0.4079,0.4629,
161,2015,1368,Southeastern Louisiana,0.4061,0.4369,
162,2015,1101,Abilene Christian,0.405,0.458,
163,2015,1309,New Orleans,0.4032,0.4357,
164,2015,1442,Western Illinois,0.3993,0.4757,
165,2015,1105,Alabama A&M;,0.3928,0.4123,
166,2015,1152,Chicago State,0.3887,0.4661,
167,2015,1363,San Jose State,0.3864,0.5155,
168,2015,1299,North Carolina A&T;,0.38299999999999995,0.4299,
169,2015,1288,Morgan State,0.3819,0.4315,
170,2015,1126,Bethune-Cookman,0.3762,0.3953,
171,2015,1398,Tennessee State,0.3711,0.47,
172,2015,1290,Mississippi Valley State,0.3677,0.4211,
173,2015,1251,Liberty,0.3549,0.4424,
174,2015,1146,Central Arkansas,0.3397,0.4381,
175,2015,1212,Grambling,0.3136,0.4159,
176,2015,1242,Kansas,0.6783,0.6269,
177,2015,1437,Villanova,0.6665,0.5721,
178,2015,1181,Duke,0.6629,0.5842,
179,2015,1211,Gonzaga,0.6414,0.5416,
180,2015,1124,Baylor,0.6325,0.5982,
181,2015,1455,Wichita State,0.6254,0.5293,
182,2015,1235,Iowa State,0.6213,0.585,
183,2015,1320,Northern Iowa,0.618,0.5138,
184,2015,1328,Oklahoma,0.6158,0.5891,
185,2015,1344,Providence,0.6142,0.5883,
186,2015,1257,Louisville,0.6125,0.5789,
187,2015,1361,San Diego State,0.6022,0.5356,
188,2015,1139,Butler,0.598,0.571,
189,2015,1173,Dayton,0.5953,0.5172,
190,2015,1332,Oregon,0.5915,0.5524,
